2005.09.13,111.71
2005.09.14,109.82
2005.09.15,111.03
2005.09.16,113.8
2005.09.17,114.4
2005.09.18,112.84
2005.09.19,111.6
2005.09.20,112.66
2005.09.21,111.43
2005.09.22,111.28
2005.09.23,109.74
2005.09.24,107.05
2005.09.25,107.73
2005.09.26,108.94
2005.09.27,107.24
2005.09.28,108.02
2005.09.29,107.86
2005.09.30,109.25
2005.10.01,109.71
2005.10.02,109.53
2005.10.03,108.61
2005.10.04,109.67
2005.10.05,109.85
2005.10.06,107.62
2005.10.07,108.8
2005.10.08,109.47
2005.10.09,107.74
2005.10.10,108.02
2005.10.11,106.85
2005.10.12,104.61
2005.10.13,105.63
2005.10.14,104.83
2005.10.15,106.18
2005.10.16,108.65
2005.10.17,108.42
2005.10.18,108.5
2005.10.19,110.8
2005.10.20,112.34
2005.10.21,111.04
2005.10.22,109.2
2005.10.23,110.21
2005.10.24,109.63
2005.10.25,111.36
2005.10.26,112.73
2005.10.27,113.68
2005.10.28,114.8
2005.10.29,115.82
2005.10.30,113.72
2005.10.31,113.49
2005.11.01,112.15
2005.11.02,112.41
2005.11.03,111.43
2005.11.04,111.6
2005.11.05,112.69
2005.11.06,115.63
2005.11.07,116.4
2005.11.08,117.97
2005.11.09,116.18
2005.11.10,118.43
2005.11.11,118.29
2005.11.12,116.46
2005.11.13,113.31
2005.11.14,113.15
2005.11.15,111.38
2005.11.16,109.92
2005.11.17,104.09
2005.11.18,100.17
2005.11.19,99.39
2005.11.20,100.37
2005.11.21,100.74
2005.11.22,100.79
2005.11.23,104.3
2005.11.24,105.65
2005.11.25,105.57
2005.11.26,106.82
2005.11.27,105.99
2005.11.28,105.03
2005.11.29,103.94
2005.11.30,102.61
2005.12.01,105.66
2005.12.02,109.08
2005.12.03,111.26
2005.12.04,113.04
2005.12.05,113.44
2005.12.06,115.84
2005.12.07,115.58
2005.12.08,117.21
2005.12.09,116.86
2005.12.10,116.98
2005.12.11,114.92
2005.12.12,115.3
2005.12.13,113.56
2005.12.14,111.87
2005.12.15,113.14
2005.12.16,115.17
2005.12.17,113.03
2005.12.18,114.81
2005.12.19,115.19
2005.12.20,115.54
2005.12.21,114.96
2005.12.22,112.77
2005.12.23,110.01
2005.12.24,110.1
2005.12.25,108.01
2005.12.26,107
2005.12.27,106.4
2005.12.28,108.61
2005.12.29,107.96
2005.12.30,109.11
2005.12.31,110.4
2006.01.01,110.07
2006.01.02,112.25
2006.01.03,115.35
2006.01.04,119.42
2006.01.05,121.32
2006.01.06,121.88
2006.01.07,120.81
2006.01.08,122.08
2006.01.09,121.6
2006.01.10,119.38
2006.01.11,116.47
2006.01.12,114.61
2006.01.13,113.56
2006.01.14,113.83
2006.01.15,110.91
2006.01.16,109.88
2006.01.17,110.45
2006.01.18,109.19
2006.01.19,107.27
2006.01.20,107.05
2006.01.21,108.3
2006.01.22,109.21
2006.01.23,109.07
2006.01.24,108.36
2006.01.25,109.76
2006.01.26,111.22
2006.01.27,110.82
2006.01.28,112.91
2006.01.29,116.54
2006.01.30,116.67
2006.01.31,116.81
2006.02.01,113.31
2006.02.02,112.88
2006.02.03,112.1
2006.02.04,107.75
2006.02.05,101.88
2006.02.06,101.55
2006.02.07,101.65
2006.02.08,106.37
2006.02.09,107.18
2006.02.10,108.07
2006.02.11,108.08
2006.02.12,106.17
2006.02.13,105.79
2006.02.14,104.45
2006.02.15,103.03
2006.02.16,101.94
2006.02.17,100.19
2006.02.18,97.89
2006.02.19,99.9
2006.02.20,96.26
2006.02.21,95.95
2006.02.22,92.66
2006.02.23,87.68
2006.02.24,86.89
2006.02.25,86.74
2006.02.26,86.46
2006.02.27,90.05
2006.02.28,90.43
2006.03.01,90.85
2006.03.02,94.57
2006.03.03,97.16
2006.03.04,100.86
2006.03.05,101.99
2006.03.06,102.5
2006.03.07,102.43
2006.03.08,103.01
2006.03.09,104.13
2006.03.10,103.2
2006.03.11,99.16
2006.03.12,92.47
2006.03.13,87.35
2006.03.14,83.02
2006.03.15,77
2006.03.16,72.6
2006.03.17,70.87
2006.03.18,69.59
2006.03.19,73.82
2006.03.20,77.14
2006.03.21,77.8
2006.03.22,83.95
2006.03.23,85.57
2006.03.24,86.42
2006.03.25,89.46
2006.03.26,88.8
2006.03.27,89.05
2006.03.28,90.33
2006.03.29,90.05
2006.03.30,92.43
2006.03.31,92.85
2006.04.01,92.57
2006.04.02,94.79
2006.04.03,95.76
2006.04.04,99.49
2006.04.05,99.71
2006.04.06,99.5
2006.04.07,99.53
2006.04.08,98.29
2006.04.09,96.81
2006.04.10,96.24
2006.04.11,95.11
2006.04.12,95.54
2006.04.13,94.45
2006.04.14,92.22
2006.04.15,93.91
2006.04.16,93.89
